sentence,label
level 5 spicy was perfect  where spice didn't over whelm the soup  ,1
they also now serve indian naan bread with hummus and some spicy pine nut sauce that was out of this world  ,1
it kept getting worse and worse so now i'm officially done  ,0
not a single employee came out to see if we were ok or even needed a water refill once they finally served us our food  ,0
never been to hard rock casino before  will never ever step forward in it again  ,0
hawaiian breeze  mango magic  and pineapple delight are the smoothies that i've tried so far and they're all good  ,1
this place was such a nice surprise  ,1
my breakfast was perpared great  with a beautiful presentation of 3 giant slices of toast  lightly dusted with powdered sugar  ,1
they had a toro tartare with a cavier that was extraordinary and i liked the thinly sliced wagyu with white truffle  ,1
won't ever go here again  ,0
ordered a double cheeseburger & got a single patty that was falling apart  picture uploaded  yeah  still sucks  ,0
nice ambiance  ,1
the seasonal fruit was fresh white peach puree  ,1
the burrittos blah  ,0
the pizza tasted old  super chewy in not a good way  ,0
it lacked flavor  seemed undercooked  and dry  ,0
lobster bisque  bussell sprouts  risotto  filet all needed salt and pepper  and of course there is none at the tables  ,0
server did a great job handling our large rowdy table  ,1
i miss it and wish they had one in philadelphia  ,1
the best place to go for a tasty bowl of pho  ,1
interesting decor  ,1
the lighting is just dark enough to set the mood  ,1
i could eat their bruschetta all day it is devine  ,1
no complaints  ,1
food was good  service was good  prices were good  ,1
i don't have very many words to say about this place  but it does everything pretty well  ,1
service is friendly and inviting  ,1
i came back today since they relocated and still not impressed  ,0
it really is impressive that the place hasn't closed down  ,0
the place was not clean and the food oh so stale  ,0
after i pulled up my car i waited for another 15 minutes before being acknowledged  ,0
like the other reviewer said  you couldn't pay me to eat at this place again   ,0
the problem i have is that they charge $11 99 for a sandwich that is no bigger than a subway sub  which offers better and more amount of vegetables   ,0
i can assure you that you won't be disappointed  ,1
terrible service  ,0
both of them were truly unbelievably good  and i am so glad we went back  ,1
be sure to order dessert  even if you need to pack it to go   the tiramisu and cannoli are both to die for  ,1
i would avoid this place if you are staying in the mirage  ,0
the service here is fair at best  ,0
it wasn't busy at all and now we know why  ,0
their monster chicken fried steak and eggs is my all time favorite  ,1
i got to enjoy the seafood salad  with a fabulous vinegrette  ,1
we could not believe how dirty the oysters were  ,0
by this point  my friends and i had basically figured out this place was a joke and didn't mind making it publicly and loudly known  ,0
never going back  ,0
rude & inconsiderate management  ,0
if you want healthy authentic or ethic food  try this place  ,1
i had to wait over 30 minutes to get my drink and longer to get 2 arepas  ,0
which are small and not worth the price  ,0
i waited and waited  ,0
nothing special  ,0
for that price i can think of a few place i would have much rather gone  ,0
over rated  ,0
food arrived quickly  ,1
favorite place in town for shawarrrrrrma       ,1
i don't know what the big deal is about this place  but i won't be back  ya'all   ,0
will definitely be back  ,1
overall  i don't think that i would take my parents to this place again because they made most of the similar complaints that i silently felt too  ,0
the only redeeming quality of the restaurant was that it was very inexpensive  ,1
anyways  the food was definitely not filling at all  and for the price you pay you should expect more  ,0
the server was very negligent of our needs and made us feel very unwelcome    i would not suggest this place  ,0
this is some seriously good pizza and i'm an expert/connisseur on the topic  ,1
i don't recommend unless your car breaks down in front of it and you are starving  ,0
the cashier was friendly and even brought the food out to me  ,1
of all the dishes  the salmon was the best  but all were great  ,1
i ordered the voodoo pasta and it was the first time i'd had really excellent pasta since going gluten free several years ago  ,1
the selection of food was not the best  ,0
i mean really  how do you get so famous for your fish and chips when it's so terrible    ,0
the food was outstanding and the prices were very reasonable  ,1
maybe if they weren't cold they would have been somewhat edible  ,0
if you're not familiar  check it out  ,1
the waitress and manager are so friendly  ,1
always a pleasure dealing with him  ,1
their daily specials are always a hit with my group  ,1
you cant go wrong with any of the food here  ,1
food was great and so was the serivce  ,1
first time there and might just be the last  ,0
the salad had just the right amount of sauce to not over power the scallop  which was perfectly cooked  ,1
not much seafood and like 5 strings of pasta at the bottom  ,0
those burgers were amazing  ,1
i don't have to be an accountant to know i'm getting screwed  ,0
this was my first and only vegas buffet and it did not disappoint  ,1
so flavorful and has just the perfect amount of heat  ,1
the classic maine lobster roll was fantastic  ,1
love the margaritas  too  ,1
what a mistake that was  ,0
i love their fries and their beans  ,1
we loved the place  ,1
a couple of months later  i returned and had an amazing meal  ,1
the shrimp tender and moist  ,1
i probably won't be coming back here  ,0
the portion was huge  ,1
best tacos in town by far   ,1
very good  though  ,1
special thanks to dylan t  for the recommendation on what to order    all yummy for my tummy  ,1
this place is hands down one of the best places to eat in the phoenix metro area  ,1
i felt insulted and disrespected  how could you talk and judge another human being like that  ,0
i don't think i'll be running back to carly's anytime soon for food  ,0
the last 3 times i had lunch here has been bad  ,0
oh this is such a thing of beauty  this restaurant  ,1
it is perfect for a sit down family meal or get together with a few friends  ,1
my boyfriend and i came here for the first time on a recent trip to vegas and could not have been more pleased with the quality of food and service  ,1
hands down my favorite italian restaurant  ,1
i guess maybe we went on an off night but it was disgraceful  ,0
please stay away from the shrimp stir fried noodles  ,0
my husband said she was very rude    did not even apologize for the bad food or anything  ,0
very good food  great atmosphere 1 ,1
all of the tapas dishes were delicious  ,1
it was extremely  crumby  and pretty tasteless  ,0
the selection was probably the worst i've seen in vegas     there was none  ,0
we were promptly greeted and seated  ,1
good prices  ,1
poor service  the waiter made me feel like i was stupid every time he came to the table  ,0
must have been an off night at this place  ,0
omg i felt like i had never eaten thai food until this dish  ,1
and it was way to expensive  ,0
we waited for thirty minutes to be seated  although there were 8 vacant tables and we were the only folks waiting   ,0
the restaurant atmosphere was exquisite  ,1
worst martini ever  ,0
i dressed up to be treated so rudely  ,0
this one is simply a disappointment  ,0
nice blanket of moz over top but i feel like this was done to cover up the subpar food  ,1
i'm probably one of the few people to ever go to ians and not like it  ,0
crostini that came with the salad was stale  ,0
everything was gross  ,0
the feel of the dining room was more college cooking course than high class dining and the service was slow at best  ,0
the wontons were thin  not thick and chewy  almost melt in your mouth  ,1
their menu is diverse  and reasonably priced  ,1
also  the fries are without a doubt the worst fries i've ever had  ,0
if you want to wait for mediocre food and downright terrible service  then this is the place for you  ,0
this place is overpriced  not consistent with their boba  and it really is overpriced  ,0
on the up side  their cafe serves really good food  ,1
restaurant is always full but never a wait  ,1
if you love authentic mexican food and want a whole bunch of interesting  yet delicious meats to choose from  you need to try this place  ,1
overall  i was very disappointed with the quality of food at bouchon  ,0
i think food should have flavor and texture and both were lacking  ,0
best of luck to the rude and non customer service focused new management  ,0
i can't wait to go back  ,1
as for the service  i'm a fan  because it's quick and you're being served by some nice folks  ,1
don't do it     ,0
and then tragedy struck  ,0
i don't each much pasta  but i love the homemade /hand made pastas and thin pizzas here  ,1
what a mistake  ,0
the spaghetti is nothing special whatsoever  ,0
i could care less    the interior is just beautiful  ,1
that just screams  legit  in my book   somethat's also pretty rare here in vegas  ,1
this place is not quality sushi  it is not a quality restaurant  ,0
not a weekly haunt  but definitely a place to come back to every once in a while  ,1
best tater tots in the southwest  ,1
the food was terrible  ,0
insults  profound deuchebaggery  and had to go outside for a smoke break while serving just to solidify it  ,0
waitress was a little slow in service  ,0
damn good steak  ,1
i was very disappointed   ,0
